;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;FAMI_TIENEINTERNET;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
161;Estrato 3;CAUCA;No;40.41275167785235;45.1744966442953;41.874161073825505;46.56879194630873;43.74664429530201;219.0704697986577
162;Estrato 3;CAUCA;Si;50.75535512965051;54.49154453213078;51.925591882750844;55.43291995490417;52.21871476888388;265.62457722660656
163;Estrato 3;CESAR;No;41.620309050772626;46.34437086092715;43.2317880794702;48.06181015452539;44.47019867549669;224.8852097130243
164;Estrato 3;CESAR;Si;50.67569193742479;54.15824308062575;53.108303249097474;55.08002406738869;51.94524669073405;264.8760529482551
165;Estrato 3;CHOCO;No;36.17407407407408;40.20740740740741;39.544444444444444;41.96666666666667;38.15555555555556;195.8074074074074
166;Estrato 3;CHOCO;Si;42.63294797687861;45.92485549132948;44.26300578034682;48.34393063583815;42.83815028901734;224.41907514450867
167;Estrato 3;CORDOBA;No;39.87645687645688;44.45687645687646;41.76923076923077;46.42773892773893;43.41025641025641;217.02564102564102
168;Estrato 3;CORDOBA;Si;50.543398978847556;53.68271334792122;53.10430342815463;55.26258205689278;51.99854121079504;264.4427425237053
169;Estrato 3;CUNDINAMARCA;No;46.080049261083744;50.26847290640394;46.955049261083744;51.576354679802954;47.71366995073892;243.79679802955664
170;Estrato 3;CUNDINAMARCA;Si;51.61094324213965;55.188730093915886;52.559003674969375;55.74920375663536;52.06835443037975;267.85569620253165
171;Estrato 3;EXTRANJERO;Si;40.0;44.5;51.0;44.75;44.75;220.25
172;Estrato 3;GUAINIA;No;41.94117647058823;48.64705882352941;44.94117647058823;46.411764705882355;45.05882352941177;227.41176470588235
173;Estrato 3;GUAINIA;Si;54.388888888888886;56.94444444444444;51.611111111111114;53.5;53.388888888888886;271.72222222222223
174;Estrato 3;GUAVIARE;No;40.90909090909091;44.45454545454545;39.27272727272727;45.39393939393939;42.484848484848484;215.0
175;Estrato 3;GUAVIARE;Si;45.857142857142854;50.4025974025974;44.81818181818182;49.35064935064935;47.142857142857146;239.71428571428572
176;Estrato 3;HUILA;No;42.67338709677419;47.80241935483871;43.41532258064516;48.29032258064516;45.54032258064516;229.3709677419355
177;Estrato 3;HUILA;Si;52.578003120124805;56.797971918876755;54.366614664586585;57.12636505460218;53.91263650546022;275.2332293291732
178;Estrato 3;LA GUAJIRA;No;39.590021691973966;43.67245119305857;40.36225596529284;45.75054229934924;41.7353579175705;212.53796095444685
179;Estrato 3;LA GUAJIRA;Si;46.930424528301884;51.19221698113208;48.58844339622642;52.02358490566038;48.612028301886795;248.0318396226415
180;Estrato 3;MAGDALENA;No;40.015765765765764;43.77252252252252;41.015765765765764;45.85022522522522;41.692567567567565;213.46396396396398
181;Estrato 3;MAGDALENA;Si;48.27522559474979;51.170631665299425;49.976210008203445;53.219852337981955;48.7805578342904;251.66611977030354
182;Estrato 3;META;No;44.97308488612836;49.53830227743271;46.072463768115945;51.19047619047619;46.971014492753625;240.0310559006211
183;Estrato 3;META;Si;50.908408408408405;55.37987987987988;52.21621621621622;55.72132132132132;51.97807807807808;266.9924924924925
184;Estrato 3;NARIÑO;No;42.02047781569966;47.01877133105802;43.49317406143345;48.472696245733786;45.539249146757676;227.92662116040955
185;Estrato 3;NARIÑO;Si;53.955239064089525;58.16225839267548;56.024923702950154;57.841302136317395;55.51424211597151;281.7095625635809
186;Estrato 3;NORTE SANTANDER;No;44.777027027027025;49.46621621621622;45.93018018018018;50.5518018018018;47.20495495495496;239.17342342342343
187;Estrato 3;NORTE SANTANDER;Si;53.300601202404806;57.658917835671346;54.78036072144288;57.39879759519038;54.373547094188375;278.0617234468938
188;Estrato 3;PUTUMAYO;No;42.557377049180324;46.721311475409834;43.31147540983606;47.92622950819672;44.82786885245902;226.72131147540983
189;Estrato 3;PUTUMAYO;Si;48.16858237547893;52.93103448275862;48.47126436781609;53.1992337164751;49.47892720306513;253.77394636015325
190;Estrato 3;QUINDIO;No;45.990867579908674;48.922374429223744;46.917808219178085;51.8310502283105;47.15981735159817;241.78082191780823
191;Estrato 3;QUINDIO;Si;51.563351842503785;55.14891468955073;53.48056537102474;56.01766784452297;52.20898536092882;268.5749621403332
192;Estrato 3;RISARALDA;No;46.25192802056555;49.63239074550128;47.53213367609254;51.96658097686375;47.22107969151671;243.3624678663239
193;Estrato 3;RISARALDA;Si;50.8899028554607;54.2834854283191;52.81925228142479;55.422137179864585;51.54607006181925;265.0971445392994
194;Estrato 3;SAN ANDRES;No;44.769911504424776;47.65486725663717;52.230088495575224;50.716814159292035;45.07964601769911;237.28318584070797
195;Estrato 3;SAN ANDRES;Si;49.578125;52.0703125;58.0625;55.171875;49.1953125;260.0703125
196;Estrato 3;SANTANDER;No;46.54473386183466;51.7836919592299;47.47451868629672;52.43035107587769;48.959229898074746;248.71687429218574
197;Estrato 3;SANTANDER;Si;54.01939245999458;58.517900732302685;54.892866829400596;58.22904800650936;55.25522104692162;281.9080553295362
198;Estrato 3;SUCRE;No;38.434322033898304;42.74364406779661;40.891949152542374;44.83686440677966;41.83686440677966;209.40889830508473
199;Estrato 3;SUCRE;Si;48.929577464788736;52.92061459667094;50.73495518565941;54.006402048655566;50.837387964148526;258.0179257362356
200;Estrato 3;TOLIMA;No;42.490196078431374;47.24064171122995;44.593582887700535;48.72727272727273;45.13368983957219;228.98573975044565
201;Estrato 3;TOLIMA;Si;51.16831108531631;54.44486360998259;52.852582704585025;55.51712130005804;51.672083575159604;265.8723157283807
202;Estrato 3;VALLE;No;44.89441469013007;48.41469013006886;46.128538638102526;50.62892119357307;46.66258607498087;237.66488140780413
