ANIO;FAMI_EDUCACION;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL;PADRE
20152;Educación profesional completa;59.33020457280385;60.991148549271294;56.60449257922182;57.672095199893036;290.4203770557561;papa
20152;Educación profesional incompleta;59.03974358974359;59.66007326007326;56.62875457875458;57.55549450549451;289.37820512820514;papa
20152;Ninguno;45.730708146487295;46.80712817638266;46.444927130044846;46.48388452914798;231.18754671150973;papa
20152;No sabe;49.5961025093433;50.08734650293646;49.56978109983983;49.61906033101975;248.0445808862787;papa
20152;Postgrado;66.78226503643324;70.07546004693096;61.067185377300234;63.481412868963815;320.6691367173027;papa
20152;Primaria completa;47.586359917693436;47.448198924064755;47.65571311698937;47.97165133748172;238.40058754989215;papa
20152;Primaria incompleta;46.398144115369725;46.67479674796748;46.70534504452188;46.976335656213706;233.22048006194348;papa
20152;Secundaria (Bachillerato) completa;51.150370025796086;50.80481244978221;50.68012009980124;50.921816720937116;254.41298261935975;papa
20152;Secundaria (Bachillerato) incompleta;49.214448939258254;48.826544792020506;49.02465799956767;49.20022851496155;245.30571596207886;papa
20152;Técnica o tecnológica completa;55.91365361757601;55.62861853456539;54.364709942103445;54.91921322035198;275.6321843487596;papa
20152;Técnica o tecnológica incompleta;53.03958712811172;52.943776563448694;52.14401942926533;52.56575591985428;263.0126290224651;papa
20161;Educación profesional completa;70.36111111111111;75.73230286738351;61.70161290322581;66.66353046594982;333.77105734767025;papa
