ANIO;ESTU_DEPTO_RESIDE;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
Todos;CALDAS;51.589759369807375;48.80208012800788;52.934765216321004;49.56969659671364;252.30623422979875
Todos;CAQUETA;49.48890756302521;45.05882352941177;50.47445378151261;46.46890756302521;238.72806722689074
Todos;CASANARE;52.47947004058248;47.48854141799952;52.32465982334686;49.06027691573168;250.4448555741227
Todos;CAUCA;49.538546316195514;45.547528517110266;50.56058852702926;47.41830605609743;240.3665068606381
Todos;CESAR;50.1264448147949;46.65410461803129;51.369657545293265;47.905865276060425;243.57136713079942
Todos;CHOCO;43.6964135376326;42.13537632598081;45.82404445192793;41.126620643205925;213.45243306954032
Todos;CORDOBA;49.37119061139504;46.13908763959871;51.08434601552148;47.774900624645085;241.26053378762066
Todos;CUNDINAMARCA;53.30522719239681;49.4729018575973;53.78991085103876;50.166732121116915;257.1483132388171
Todos;EXTRANJERO;52.611111111111114;47.333333333333336;50.27777777777778;48.05555555555556;246.0
Todos;GUAINIA;48.943502824858754;44.99717514124294;48.048022598870055;45.69491525423729;232.7683615819209
Todos;GUAVIARE;49.13754325259516;42.77595155709343;49.200692041522494;45.89446366782007;233.6652249134948
Todos;HUILA;52.91825435596808;48.34929164631168;53.356130923302395;50.34652336752972;255.2463768115942
Todos;LA GUAJIRA;46.76277643560677;43.183330236015614;48.37632410332652;44.64904292882364;227.4710091061141
Todos;MAGDALENA;46.58520563594821;43.502380045696874;48.65736862147753;44.61766945925362;227.93240670220868
Todos;META;52.32648075318794;47.76599928494816;52.82546776307949;49.08818972708855;251.1296031462281
Todos;NARIÑO;52.69055507833272;48.222726714934346;52.79645764306459;50.34253691659508;253.95766351699595
Todos;NORTE SANTANDER;54.346608109836694;49.4144459131028;54.06481047200784;51.15558777128726;259.84394320556004
Todos;PUTUMAYO;50.360681939264786;45.27153258746226;50.70449298526017;47.597229621736815;241.61019357130172
Todos;QUINDIO;52.5705256504793;50.10723691140841;53.74844622353313;49.79395343937638;255.93890234909932
Todos;RISARALDA;52.30864353312303;50.53552050473186;53.78895899053628;49.936908517350155;256.07217665615144
Todos;SAN ANDRES;46.599391480730226;53.081135902636916;50.053752535496955;44.496957403651116;233.99594320486815
Todos;SANTANDER;56.10798983255156;51.126647624538144;55.78208118235895;52.82039254736511;268.8306386100993
Todos;SUCRE;49.50842886041807;45.72650033715442;51.035603506405934;47.92852326365475;241.4957518543493
Todos;TOLIMA;50.40354346597788;47.16938413108402;51.79727984502381;48.101662765356366;245.60598111227702
Todos;VALLE;52.02857187103169;50.44167931365565;53.86345897729736;49.88994022361941;255.5648867965435
Todos;VAUPES;43.63157894736842;41.75743707093822;45.30205949656751;42.01830663615561;214.8192219679634
Todos;VICHADA;48.424196018376726;42.888208269525265;49.560490045941805;45.88514548238897;233.6738131699847
